english,japanese,pt-BR,sv-SE
Evil Eyebrow Ring,魔眼のピアス,Anel da Sobrancelha Maligna,Ondskefulla ögonbrynsringen
Expert's Experience,識者の経験,Experiência do Especialista,Expertens erfarenhet
Extreme Guard,エクストリームガード,Guarda Extrema,Extremt skydd
Fairy Tincture,妖精の霊薬,Tintura de Fada,Fetinktur
Falchion,ファルシオン,Falquion,Falchion
Fencer's Familiarity,剣士の知識,Perícia do Esgrimista,Fäktarens förtrogenhet
Fifth Oracle,預言書,Quinto Oráculo,Femte oraklet
Fireproof Trinket,耐炎の護符,Amuleto Ignífugo,Eldskyddande amulett
Flare Baselard,フレアバゼラード,Baselarda de Fulgor,Flarebaselard
Flare Crystal,フレアクリスタル,Cristal de Fulgor,Flarekristall
Flare Gem,フレアジェム,Gema Ígnea,Flaregems
Floral Garb,縫衣フローレスガーブ,Manto Floral,Blomsterdräkt
Foolproof Talisman,無欠のタリスマン,Talismã Infalível,Felsäker talisman
Foolproof Trinket,無欠の護符,Berloque Infalível,Felsäker berlock
Gandeeva,ガンデーヴァ,Gandeeva,Gandeeva
Gauntlet,ガントレット,Manopla,Handske
Ghoul Powder,グールパウダー,Pó Necrótico,Ghoulpulver
Gladiolus,グラジオラス,Gladiolo,Gladiolus
Goddess Pendant,戦乙女のペンダント,Pingente da Deusa,Gudinnans halsband
Goddess Tincture,女神の霊藥,Tintura da Deusa,Gudinnans tinktur
Golden Egg,金の卵,Ovo Dourado,Gyllene ägg
Guard Potion,ガードポーシヨン,Poção de Guarda,Skyddsdryck
Gungnir,神槍グングニル,Gungnir,Gungnir
Halo Stone,輪光の石,Pedra da Auréola,Glansljussten
Hauteclaire,誓剣オートクレイル,Hauteclaire,Hauteclaire
Hildr's Sword,狩剣ヒルド,Espada de Hildr,Hildrs svärd
Holy Crystal,ホーリィクリスタル,Cristal Sacro,Helig kristall
Holy Gem,ホーリィジェム,Gema Sacra,Helig gems
Holy Water of Mithra,ミトラの聖水,Água Benta de Mithra,Mithras vigvatten
Honeysuckle Dew,金銀花の露,Orvalho de Madressilva,Kaprifoldagg
Hunted Mouse,狩られたネズミ,Rato Caçado,Jagad mus
Ice Crystal,アイスクリスタル,Cristal de Gelo,Iskristall
Ice Gem,アイスジェム,Gema de Gelo,Isgems
Iceproof Talisman,防寒のタリスマン,Talismã Anticongelante,Köldskyddande talisman
Infinite Admiration,煌鎧インフィネイトアドマイア,Admiração Infinita,Oändlig beundran
Insect Stinger,虫のトゲ,Ferrão de Inseto,Insektgadd
Iron Helm,アイアンヘルム,Elmo de Ferro,Järnhjälm
Key to the Mines,鉱山の鍵,Chave para as Minas,Gruvbrytningens nyckel
Kraadicator,シルバークラッド,Kraadicador,Kraadikator
Kraadmail,クラッドメイル,Kraadmalha,Kraadmalja
Leather Boots,レザーブーツ,Botas de Couro,Läderstövlar
Lightningproof Trinket,避雷の護符,Amuleto Antiraio,Åskskyddande amulett
Lily,リリィ,Lírio,Lilja
Mace Head,メイスヘッド,Cabeça de Maça,Klubbhuvud
Magic Bangle,マジックバングル,Bracelete Mágico,Magiskt armband
Map of the East Lands,大陸東部の地図,Mapa das Terras Orientais,Karta över Östermarkerna
Map of the North Lands,大陸北部の地図,Mapa das Terras do Norte,Karta över Nordmarkerna
Map of the West Lands,大陸西部の地図,Mapa das Terras Ocidentais,Karta över Västermarkerna
Meat Chops,骨付き肉,Costeletas,Kotletter
Metabolizer,メタボライザー,Metabolizador,Metaboliserare
Metal Buckler,メタルバックラー,Broquel de Metal,Metallbucklare
Metal Greaves,メタルグリーブ,Grevas de Metal,Metallbenskydd
Might Potion,マイトポーシヨン,Poção de Força,Styrkedryck
Mirage Robe,幻衣ミラージュロブ,Vestido Miragem,Mirageklädnad
Misfortunate Bird,不幸な青い鳥,Pássaro Desafortunado,Olycksfågel
Mithril Crown,ミスリルクラウン,Coroa de Mítril,Mitrilkrona
Mithril Greaves,ミスリルグリーブ,Grevas de Mítril,Mitrilbenskydd
Mithril Helm,ミスリルヘルム,Elmo de Mítril,Mitrilhjälm
Nectar Potion,リキュールポーシヨン,Poção de Néctar,Nektardryck
Noble Elixir,ノーブルエリクサー,Elixir Nobre,Ädel elixir
Ouroboros Symbol,ウロボロスシンボル,Símbolo Ouroboros,Ouroboros-symbol
Overdrive,オーバードライブ,Sobrecarga,Överladdning
Pallasch,パラッシュ,Palache,Pallasch
Prime Elixir,プライムエリクサー,Elixir Primor,Prime elixir
Prism Crystal,プリズムクリスタル,Cristal Prisma,Prismakristall
Prism Gem,プリズムジェム,Gema Prisma,Prismagems
Reflect Armor,鏡鎧リフレックス,Armadura Refletora,Reflekterande rustning
Robe of Bryttain,聖衣ブリタニアガーブ,Veste de Bryttain,Bryttains dräkt
Royal Glove,ロイヤルグローブ,Luva Real,Kunglig handske
Royal Jelly,ロイヤルゼリー,Geléia Real,Kunglig gelé
Sage's Arcanum,賢者の秘薬,Arcano do Sábio,Den vises arkana
Sallet,サレット,Celada,Sallet
Screp,スクレップ,Screp,Screp
Seafood,海鮮肉,Frutos do mar,Skaldjur
Second Oracle,預言書,Segundo Oráculo,Andra oraklet
Shamshir,シャムシール,Shamshir,Shamshir
Silver Helm,シルバーヘルム,Elmo de Prata,Silverhjälm
Silver Plate,シルバープレート,Placa de Prata,Silverplåt
Silver Scales,シルバースケイル,Escamas de Prata,Silverfjäll
Sixth Oracle,預言書,Sexto Oráculo,Sjätte oraklet
Skull Receptacle,ドクロの器,Receptáculo do Esqueleto,Skallkärl
Soft Stone,やわらかな石,Pedra Mole,Mjuk sten
Solomon's Ring,ソロモンの指輪,Anel de Salomão,Salomos ring
Sorcerer's Savvy,魔術師の知識,Saber do Feiticeiro,Trollkarlens klokhet
Spell Potion,スペルポーシヨン,Poção de Magia,Besvärjelsedryck
Spirit Tincture,精霊の霊薬,Tintura de Espírito,Andetinktur
Squalid Cloth,ぼろぼろの布,Tecido Sujo,Smutsig duk
Strength Bow,ストレングスボウ,Arco de Força,Styrkeskära
Sucked Bone,しやぶった骨,Osso Mastigado,Suget ben
Sun and Moon Stone,陽月の石,Pedra do Sol e da Lua,Sol- och månsten
Sun Shower,名刀五月雨,Chuva de Sol,Solregn
Supreme Crown,スプリームクラウン,Coroa Suprema,Högsta krona
Tailless Lizard,尻尾の切れたトカゲ,Lagarto Sem Cauda,svanslös ödla
Thief's Thoughts,盗賊の知識,Pensamentos do Ladino,Tjuvens tankar
Third Oracle,預言書,Terceiro Oráculo,Tredje oraklet
Thunder Gem,サンダージェム,Gema do Trovão,Åskgems
Tiny Bugs,ちいさな虫,Mosquitinhos,Små kryp
Tiny Flower,ちいさな花,Florzinha,Liten blomma
Tome of Alchemy,錬金術の書,Tomo de Alquimia,Alkemiets bok
tri-Emblem,トライエンブレム,tri-Emblema,Tri-emblem
Unicorn's Horn,聖杖ユニコーンズホーン,Chifre do Unicórnio,Enhörningshorn
Union Plume,ユニオンプラム,Pluma Unificadora,Föreningsplym
Valiant Greaves,ヴァリアントグリーブ,Grevas Valentes,Tapperhetsbenskydd
Valiant Helm,ヴァリアントヘルム,Elmo Valente,Tapperhetshjälm
Valor Gauntlet,ヴァローガントレット,Braçadeira Valorosa,Tapperhetshandske
Valor Greaves,ヴァローグリーブ,Grevas Valorosas,Tapperhetsbenskydd
Vegetable Debris,野菜くず,Restos de Vegetais,Grönsaksavfall
Wand of Apocalypse,魔杖アポカリプス,Cajado do Apocalipse,Apokalyptisk stav
Warrior's Arcanum,戦士の秘薬,Arcano do Guerreiro,Krigarens arkana
Warrior's Wits,重戦士のの知識,Astúcia do Guerreiro,Krigarens vishet
Water Mirror,水鏡,Espelho D'água,Vattenspegel
Weeping Lily,スズラン,Lírio-do-Vale,Gråtande lilja
Witch's Arcanum,魔女の秘薬,Arcano do Bruxo,Häxans arkana
Ymir's Tear,ユミルの涙,Lágrima de Ymir,Ymirs tår
Philosopher's Stone,賢者の石,Pedra Filosofal,De vises sten
